,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
PAXBP12,0,3.370229632,0.803,0.088,0,10,PAXBP1
ZNF7502,0,2.474391638,0.974,0.259,0,10,ZNF750
RBIS3,0,2.202795272,0.978,0.263,0,10,RBIS
NFKBIE3,0,2.646996521,0.905,0.191,0,10,NFKBIE
ZKSCAN41,0,3.376074762,0.775,0.061,0,10,ZKSCAN4
EDC31,0,3.528973925,0.784,0.071,0,10,EDC3
ELL2,0,2.308599966,0.882,0.169,0,10,ELL
MAP3K62,0,2.693063733,0.992,0.279,0,10,MAP3K6
MAPK152,0,1.181331284,0.908,0.196,0,10,MAPK15
OLFM12,0,1.540380399,0.928,0.217,0,10,OLFM1
CCDC121,0,3.909480022,0.757,0.046,0,10,CCDC12
CLEC17A1,0,3.001763447,0.79,0.08,0,10,CLEC17A
VAV33,0,2.295701778,0.966,0.256,0,10,VAV3
MINK12,0,2.507330909,0.934,0.225,0,10,MINK1
RHEBL12,0,2.647898321,0.82,0.111,0,10,RHEBL1
STX102,0,2.365048426,0.948,0.24,0,10,STX10
KLHL424,0,1.865570928,0.88,0.173,0,10,KLHL42
CWC152,0,3.449576937,0.837,0.13,0,10,CWC15
HES21,0,2.804696481,0.828,0.121,0,10,HES2
ZNF775-AS12,0,2.055381803,0.848,0.141,0,10,ZNF775-AS1
COL10A11,0,2.24036573,0.888,0.182,0,10,COL10A1
FOS1,0,3.632489825,0.761,0.055,0,10,FOS
ZNF482,0,2.839354889,0.784,0.079,0,10,ZNF48
STT3B2,0,2.026899848,0.865,0.161,0,10,STT3B
SPR1,0,2.933420364,0.811,0.108,0,10,SPR
MRPS72,0,3.28136565,0.788,0.085,0,10,MRPS7
KIF1C2,0,2.84849978,0.782,0.08,0,10,KIF1C
SIGLEC91,0,2.318369117,0.812,0.11,0,10,SIGLEC9
ENO23,0,1.467618868,0.94,0.238,0,10,ENO2
LINC029632,0,2.512043977,0.794,0.093,0,10,LINC02963
ZFP32,0,2.552939631,0.83,0.129,0,10,ZFP3
DCLK23,0,2.016685872,0.835,0.136,0,10,DCLK2
MCM33,0,1.306993476,0.902,0.204,0,10,MCM3
MGA2,0,2.190972148,0.881,0.183,0,10,MGA
SLIT32,0,2.731028335,0.82,0.123,0,10,SLIT3
TEX381,0,2.986033532,0.77,0.074,0,10,TEX38
CCDC1842,0,2.055564795,0.871,0.175,0,10,CCDC184
FNDC52,0,3.054187837,0.821,0.125,0,10,FNDC5
IDH12,0,1.970582285,0.823,0.128,0,10,IDH1
ATP11C4,0,1.370463027,0.969,0.277,0,10,ATP11C
CLXN2,0,1.82274099,0.938,0.246,0,10,CLXN
PNOC1,0,2.102844857,0.973,0.281,0,10,PNOC
AKR1C31,0,2.605393483,0.793,0.102,0,10,AKR1C3
POTEM1,0,3.187875506,0.753,0.062,0,10,POTEM
COLEC103,0,1.511899678,0.904,0.213,0,10,COLEC10
NUDT151,0,2.964225849,0.782,0.092,0,10,NUDT15
COQ32,0,3.032990704,0.763,0.073,0,10,COQ3
ASPHD22,0,2.132192178,0.873,0.183,0,10,ASPHD2
ADSS21,0,2.464747879,0.837,0.147,0,10,ADSS2
C2CD4D2,0,1.991387129,0.843,0.154,0,10,C2CD4D
GPR614,0,1.994340634,0.859,0.17,0,10,GPR61
BCDIN3D-AS13,0,1.005515102,0.981,0.293,0,10,BCDIN3D-AS1
PLEKHM22,0,2.485625829,0.784,0.097,0,10,PLEKHM2
GLB11,0,2.698455482,0.771,0.084,0,10,GLB1
LINC000512,0,2.808821274,0.765,0.078,0,10,LINC00051
AKAP11,0,3.707700653,0.737,0.051,0,10,AKAP1
UNC13D2,0,1.935941415,0.949,0.263,0,10,UNC13D
GFRA13,0,0.585711433,0.974,0.289,0,10,GFRA1
TOMM20L2,0,3.369198299,0.773,0.089,0,10,TOMM20L
RAD54B2,0,2.502941428,0.998,0.314,0,10,RAD54B
GNAI31,0,3.318564221,0.745,0.061,0,10,GNAI3
CORO2A5,0,1.677999174,0.95,0.266,0,10,CORO2A
ADCY42,0,2.236938511,0.815,0.131,0,10,ADCY4
KCNS22,0,2.539195596,0.803,0.12,0,10,KCNS2
NAA401,0,2.320741278,0.749,0.067,0,10,NAA40
SLC17A13,0,2.48436562,0.948,0.266,0,10,SLC17A1
PIWIL42,0,3.115720268,0.767,0.086,0,10,PIWIL4
ZKSCAN22,0,2.115384369,0.833,0.152,0,10,ZKSCAN2
TCF7L13,0,1.279782851,0.949,0.268,0,10,TCF7L1
PPP1R112,0,3.103925302,0.752,0.072,0,10,PPP1R11
NOP143,0,1.639190151,0.945,0.266,0,10,NOP14
BRD84,0,1.908792383,0.81,0.132,0,10,BRD8
ZC3H131,0,4.087310152,0.719,0.041,0,10,ZC3H13
TEX532,0,1.992326396,0.834,0.156,0,10,TEX53
GAD21,0,2.842234447,0.772,0.095,0,10,GAD2
SIRT72,0,1.969283504,0.787,0.11,0,10,SIRT7
SLC38A22,0,2.362177245,0.798,0.121,0,10,SLC38A2
KLF53,0,1.765789138,0.894,0.217,0,10,KLF5
SOD13,0,2.161367867,0.987,0.31,0,10,SOD1
TRIM224,0,1.383826129,0.917,0.24,0,10,TRIM22
SLC12A31,0,2.746073442,0.743,0.066,0,10,SLC12A3
TRPC12,0,1.916254974,0.889,0.213,0,10,TRPC1
MYO1B5,0,1.287867973,0.901,0.225,0,10,MYO1B
PPP2R5D2,0,2.052081828,0.811,0.136,0,10,PPP2R5D
C15orf622,0,1.802844542,0.865,0.19,0,10,C15orf62
TMTC43,0,1.883799709,0.883,0.208,0,10,TMTC4
TM2D32,0,2.118341104,0.782,0.108,0,10,TM2D3
PIGG3,0,1.995841237,0.812,0.138,0,10,PIGG
ACOT14,0,1.286496034,0.994,0.32,0,10,ACOT1
BMAL12,0,2.405102837,0.782,0.109,0,10,BMAL1
TOMM22-DT1,0,4.438599676,0.712,0.04,0,10,TOMM22-DT
ATP8B42,0,2.186543725,0.951,0.279,0,10,ATP8B4
HMX22,0,2.18220741,0.822,0.15,0,10,HMX2
USP383,0,1.197175696,0.859,0.187,0,10,USP38
TPCN22,0,2.719141509,0.839,0.168,0,10,TPCN2
THEM61,0,4.045560876,0.715,0.044,0,10,THEM6
ACKR32,0,1.523644545,0.831,0.16,0,10,ACKR3
ADCYAP13,0,2.028079054,0.845,0.175,0,10,ADCYAP1
RBM41,0,3.009521861,0.796,0.127,0,10,RBM4
ME11,0,2.688452456,0.798,0.129,0,10,ME1
APOC13,0,0.785086509,0.99,0.322,0,10,APOC1
REEP64,0,1.396157387,0.934,0.267,0,10,REEP6
ISL22,0,3.322275343,0.726,0.06,0,10,ISL2
MMADHC3,0,1.665494303,0.967,0.301,0,10,MMADHC
SNX243,0,2.092963006,0.957,0.292,0,10,SNX24
RDH131,0,3.065492502,0.733,0.07,0,10,RDH13
TCF201,0,2.30901832,0.933,0.271,0,10,TCF20
PSMB104,0,1.778742451,0.911,0.25,0,10,PSMB10
TMEM2073,0,1.886116242,0.991,0.331,0,10,TMEM207
HNRNPL1,0,2.21961773,0.973,0.313,0,10,HNRNPL
TMEM2453,0,2.338797493,0.824,0.165,0,10,TMEM245
CITED41,0,3.324089011,0.712,0.054,0,10,CITED4
SETD34,0,2.782914245,0.763,0.106,0,10,SETD3
COX7B3,0,2.335122699,0.759,0.102,0,10,COX7B
LHX53,0,1.999844027,0.845,0.189,0,10,LHX5
SLC6A182,0,2.272119679,0.985,0.329,0,10,SLC6A18
ST8SIA24,0,1.65712579,0.819,0.163,0,10,ST8SIA2
ZZEF12,0,1.677368091,0.905,0.251,0,10,ZZEF1
SLC30A83,0,0.986910974,0.917,0.264,0,10,SLC30A8
SRBD12,0,2.706667157,0.731,0.078,0,10,SRBD1
POGZ1,0,2.881843867,0.723,0.071,0,10,POGZ
CD3G1,0,3.401224403,0.716,0.065,0,10,CD3G
ERCC31,0,2.584759867,0.735,0.084,0,10,ERCC3
MEN11,0,1.561991189,0.922,0.272,0,10,MEN1
LIPF2,0,1.68175154,0.979,0.33,0,10,LIPF
EIF3J1,0,1.680334115,0.749,0.103,0,10,EIF3J
CNPY31,0,3.376652229,0.7,0.054,0,10,CNPY3
PDE7A3,0,2.136143712,0.97,0.324,0,10,PDE7A
WDR182,0,2.517062132,0.781,0.136,0,10,WDR18
CD300LF2,0,2.199353067,0.936,0.291,0,10,CD300LF
STARD81,0,2.655522081,0.767,0.123,0,10,STARD8
SLCO6A12,0,2.365623233,0.741,0.097,0,10,SLCO6A1
DESI11,0,3.105744812,0.713,0.069,0,10,DESI1
GLYATL12,0,1.437605816,0.817,0.173,0,10,GLYATL1
ASAP12,0,1.692944518,0.774,0.131,0,10,ASAP1
SGK12,0,2.139126269,0.809,0.167,0,10,SGK1
ADAM82,0,0.814479581,0.843,0.202,0,10,ADAM8
CDK2AP23,0,1.792261543,0.795,0.154,0,10,CDK2AP2
TMC22,0,2.354417625,0.986,0.345,0,10,TMC2
NMNAT13,0,1.571671096,0.832,0.191,0,10,NMNAT1
ZNF2762,0,3.657534129,0.686,0.046,0,10,ZNF276
CYP27A12,0,2.147663928,0.841,0.202,0,10,CYP27A1
SAMSN1-AS13,0,0.755775313,0.924,0.285,0,10,SAMSN1-AS1
SDC42,0,1.697402092,0.906,0.268,0,10,SDC4
BBS43,0,1.945638988,0.741,0.103,0,10,BBS4
PITRM14,0,2.528801204,0.763,0.126,0,10,PITRM1
ARFIP21,0,3.127916465,0.713,0.077,0,10,ARFIP2
AP3S22,0,2.101397817,0.785,0.149,0,10,AP3S2
YME1L11,0,3.492181361,0.698,0.062,0,10,YME1L1
PLEKHO13,0,1.232942806,0.825,0.189,0,10,PLEKHO1
RTCB2,0,0.699135411,0.958,0.322,0,10,RTCB
EDF12,0,1.354469608,0.957,0.322,0,10,EDF1
LRRC37A33,0,0.940253255,0.98,0.345,0,10,LRRC37A3
PCDHB92,0,2.121740377,0.871,0.238,0,10,PCDHB9
S100A11,0,2.217935526,0.969,0.336,0,10,S100A1
LINC019203,0,2.064157749,0.759,0.127,0,10,LINC01920
CCDC1222,0,2.26799699,0.745,0.113,0,10,CCDC122
BCAS43,0,2.001392377,0.897,0.267,0,10,BCAS4
PPP2R2D1,0,2.400072738,0.721,0.091,0,10,PPP2R2D
TMEM2382,0,1.304670158,0.775,0.146,0,10,TMEM238
BICDL23,0,2.002174205,0.981,0.352,0,10,BICDL2
LINC017412,0,2.87638417,0.723,0.095,0,10,LINC01741
SPCS11,0,3.051572635,0.686,0.058,0,10,SPCS1
PSMB82,0,1.6855695,0.818,0.191,0,10,PSMB8
DGAT22,0,1.587895966,0.92,0.294,0,10,DGAT2
RGCC2,0,1.84984518,0.763,0.138,0,10,RGCC
SLC6A153,0,1.502765979,0.808,0.183,0,10,SLC6A15
DNAL13,0,0.962677393,0.882,0.257,0,10,DNAL1
AKIP14,0,1.831012961,0.761,0.137,0,10,AKIP1
PRR352,0,2.458955322,0.7,0.076,0,10,PRR35
CLIP44,0,1.803857375,0.962,0.339,0,10,CLIP4
FIBIN4,0,1.378097957,0.918,0.295,0,10,FIBIN
EDNRB-AS11,0,0.828833995,0.934,0.311,0,10,EDNRB-AS1
INTS62,0,1.723893471,0.812,0.191,0,10,INTS6
HRCT13,0,1.170700301,0.953,0.332,0,10,HRCT1
PP2D12,0,1.334107128,0.839,0.219,0,10,PP2D1
FAM133A2,0,1.24725206,0.991,0.371,0,10,FAM133A
ZBTB342,0,0.689170265,0.947,0.327,0,10,ZBTB34
TNFRSF212,0,1.848896812,0.732,0.113,0,10,TNFRSF21
CHMP33,0,0.938242537,0.906,0.288,0,10,CHMP3
ZNF3261,0,3.155115122,0.672,0.055,0,10,ZNF326
DNAJC241,0,3.766388893,0.656,0.04,0,10,DNAJC24
LAMTOR32,0,2.322362564,0.999,0.384,0,10,LAMTOR3
UBE2D13,0,1.437784008,0.916,0.302,0,10,UBE2D1
NT5DC32,0,2.095816561,0.774,0.16,0,10,NT5DC3
FCAR2,0,2.029145481,0.734,0.12,0,10,FCAR
GPANK13,0,1.882149938,0.741,0.127,0,10,GPANK1
RUSC12,0,2.839679987,0.689,0.075,0,10,RUSC1
BRSK11,0,2.067823751,0.97,0.357,0,10,BRSK1
HMGN33,0,1.349456025,0.87,0.258,0,10,HMGN3
GHITM2,0,1.479756108,0.759,0.147,0,10,GHITM
AP2A23,0,1.775360456,0.765,0.153,0,10,AP2A2
LYL13,0,1.539352139,0.969,0.358,0,10,LYL1
OSBPL1A2,0,1.88268317,0.746,0.135,0,10,OSBPL1A
NBL13,0,2.854564004,0.692,0.083,0,10,NBL1
EIF4H2,0,1.947736728,0.979,0.37,0,10,EIF4H
LURAP1L3,0,1.783573602,0.97,0.362,0,10,LURAP1L
ARSB1,0,1.125116298,0.877,0.271,0,10,ARSB
KIF232,0,2.999903297,0.699,0.093,0,10,KIF23
WDR351,0,2.809427363,0.723,0.118,0,10,WDR35
DIPK1B2,0,1.876085507,0.972,0.371,0,10,DIPK1B
HEPH2,0,2.130181049,0.721,0.121,0,10,HEPH
ZNF923,0,1.924484723,0.742,0.142,0,10,ZNF92
CEP72-DT1,0,3.285066182,0.655,0.055,0,10,CEP72-DT
P2RY122,0,2.349037054,0.706,0.106,0,10,P2RY12
OSTC1,0,3.136736445,0.664,0.065,0,10,OSTC
ZNF3962,0,2.296694256,0.782,0.185,0,10,ZNF396
APCDD1L1,0,3.237632396,0.662,0.065,0,10,APCDD1L
SNRNP402,0,2.301635545,0.962,0.365,0,10,SNRNP40
NAPG2,0,1.127963287,0.9,0.304,0,10,NAPG
JOSD22,0,1.863852986,0.972,0.376,0,10,JOSD2
WDR45B1,0,3.171187396,0.672,0.078,0,10,WDR45B
SLC12A52,0,2.306835632,0.774,0.182,0,10,SLC12A5
PDXP1,0,3.244394357,0.637,0.048,0,10,PDXP
SPMIP82,0,3.954035163,0.658,0.07,0,10,SPMIP8
UBAP21,0,3.058318112,0.643,0.057,0,10,UBAP2
LGALS24,0,1.253371604,0.97,0.384,0,10,LGALS2
NSD21,0,3.358213178,0.635,0.05,0,10,NSD2
SMARCA41,0,2.879705969,0.662,0.078,0,10,SMARCA4
ECI13,0,1.008344129,0.925,0.341,0,10,ECI1
KRTAP5-21,0,3.327221126,0.637,0.054,0,10,KRTAP5-2
UBXN41,0,2.742217564,0.664,0.082,0,10,UBXN4
SAMSN12,0,1.200663455,0.901,0.319,0,10,SAMSN1
SRRM12,0,2.011631539,0.729,0.147,0,10,SRRM1
ZNF7072,0,1.468907208,0.954,0.373,0,10,ZNF707
APOBEC3H4,0,1.66645115,0.778,0.198,0,10,APOBEC3H
NT5C1A3,0,1.234245611,0.927,0.347,0,10,NT5C1A
PBDC13,0,1.763644002,0.999,0.419,0,10,PBDC1
BHLHA92,0,2.601823597,0.648,0.068,0,10,BHLHA9
C19orf122,0,2.347910432,0.672,0.093,0,10,C19orf12
PCBP31,0,2.488992758,0.654,0.076,0,10,PCBP3
HPS53,0,0.905919573,0.79,0.212,0,10,HPS5
CIZ11,0,3.361095194,0.631,0.053,0,10,CIZ1
EXO13,0,1.778933635,0.698,0.12,0,10,EXO1
EHBP1L14,0,1.522106528,0.922,0.346,0,10,EHBP1L1
F122,0,2.465690622,0.656,0.081,0,10,F12
DDX61,0,1.202349451,0.671,0.096,0,10,DDX6
FLOT22,0,1.886832757,0.667,0.093,0,10,FLOT2
CA32,0,1.226906851,0.792,0.219,0,10,CA3
DGLUCY2,0,1.703020844,0.725,0.152,0,10,DGLUCY
FBXO73,0,1.517757316,0.97,0.402,0,10,FBXO7
CCR32,0,1.057792371,0.978,0.412,0,10,CCR3
FEZF22,0,1.554799033,0.949,0.384,0,10,FEZF2
EOLA1-DT2,0,2.58240003,0.697,0.134,0,10,EOLA1-DT
CCDC1413,0,0.777881587,0.766,0.205,0,10,CCDC141
PPP1R15B1,0,3.363297109,0.611,0.05,0,10,PPP1R15B
NALCN-AS14,0,1.936915397,0.993,0.432,0,10,NALCN-AS1
TAGLN22,0,3.573959379,0.655,0.095,0,10,TAGLN2
SIGLEC153,0,2.445544675,0.754,0.196,0,10,SIGLEC15
ISLR23,0,2.606039324,0.629,0.071,0,10,ISLR2
SCAMP12,0,1.679629598,0.676,0.118,0,10,SCAMP1
EIF1AD3,0,1.462583153,0.698,0.141,0,10,EIF1AD
NOSIP1,0,2.691465014,0.641,0.086,0,10,NOSIP
TCEA33,0,1.401488456,0.749,0.194,0,10,TCEA3
WFS11,0,1.046575761,0.872,0.318,0,10,WFS1
RC3H21,0,4.286897086,0.584,0.03,0,10,RC3H2
ANO12,0,1.473082731,0.691,0.137,0,10,ANO1
MOGS3,0,1.186422034,0.826,0.273,0,10,MOGS
THRA3,0,0.899807171,0.694,0.141,0,10,THRA
OPCML3,0,0.736661383,0.786,0.235,0,10,OPCML
STK401,0,0.863556622,0.882,0.332,0,10,STK40
C12orf542,0,2.249261126,0.639,0.09,0,10,C12orf54
PLPPR13,0,1.31870332,0.692,0.143,0,10,PLPPR1
VWA72,0,1.589115101,0.979,0.43,0,10,VWA7
MID1IP1-AS13,0,0.756267181,0.879,0.331,0,10,MID1IP1-AS1
GRPEL11,0,3.123122234,0.608,0.06,0,10,GRPEL1
PDE2A-AS22,0,1.216981507,0.686,0.138,0,10,PDE2A-AS2
BLZF12,0,1.271730002,0.954,0.406,0,10,BLZF1
TMPRSS11B1,0,2.479226169,0.622,0.075,0,10,TMPRSS11B
DNAI71,0,2.297567274,0.628,0.082,0,10,DNAI7
TMC32,0,1.853356406,0.67,0.124,0,10,TMC3
ITGAV2,0,1.713406106,0.657,0.111,0,10,ITGAV
PDZD82,0,1.812845146,0.662,0.117,0,10,PDZD8
PFDN51,0,3.335366966,0.586,0.041,0,10,PFDN5
MED192,0,0.996421564,0.67,0.126,0,10,MED19
PIGX2,0,2.097001567,0.635,0.091,0,10,PIGX
H2AZ2-DT2,0,1.335295375,0.8,0.256,0,10,H2AZ2-DT
BICRAL2,0,2.129877205,0.628,0.084,0,10,BICRAL
GGCX2,0,0.276818378,0.856,0.312,0,10,GGCX
ENTREP23,0,1.199005302,0.99,0.446,0,10,ENTREP2
ATP5MC34,0,0.361456507,0.788,0.244,0,10,ATP5MC3
TEX1011,0,3.347776863,0.588,0.045,0,10,TEX101
SPATC13,0,1.094441793,0.89,0.348,0,10,SPATC1
ZNF5893,0,1.30396023,0.818,0.276,0,10,ZNF589
TTC324,0,1.120222166,0.678,0.137,0,10,TTC32
ODAD12,0,0.969574046,0.842,0.301,0,10,ODAD1
CAPN101,0,3.973914683,0.573,0.032,0,10,CAPN10
PACRG1,0,2.238211554,0.665,0.126,0,10,PACRG
POLR2D1,0,2.774204617,0.609,0.07,0,10,POLR2D
ZBTB392,0,1.309130397,0.694,0.155,0,10,ZBTB39
AGR21,0,2.251558805,0.617,0.079,0,10,AGR2
ITIH33,0,1.627877536,0.664,0.127,0,10,ITIH3
DLX22,0,1.34517587,0.7,0.163,0,10,DLX2
NEU11,0,3.810096944,0.571,0.034,0,10,NEU1
SLC35A54,0,0.471831818,0.746,0.21,0,10,SLC35A5
ADGRE33,0,1.346157396,0.704,0.168,0,10,ADGRE3
HOXB32,0,1.865395816,0.685,0.151,0,10,HOXB3
IL12A-AS13,0,1.949858856,0.745,0.211,0,10,IL12A-AS1
GAL3ST35,0,0.308537529,0.769,0.235,0,10,GAL3ST3
SEPTIN94,0,1.475868984,0.909,0.375,0,10,SEPTIN9
AMMECR1L1,0,2.924563516,0.598,0.065,0,10,AMMECR1L
HEG12,0,0.923783373,0.739,0.207,0,10,HEG1
SPMIP22,0,2.077468766,0.618,0.086,0,10,SPMIP2
PTH2,0,1.832461038,0.647,0.115,0,10,PTH
CCDC682,0,0.552163469,0.777,0.246,0,10,CCDC68
OR2T123,0,1.785298369,0.631,0.1,0,10,OR2T12
KCNQ52,0,2.026310599,0.733,0.203,0,10,KCNQ5
HTR3A1,0,0.762308132,0.698,0.169,0,10,HTR3A
MAML23,0,1.086386098,0.719,0.19,0,10,MAML2
GAD11,0,1.88192191,0.802,0.274,0,10,GAD1
ACRV13,0,1.807422714,0.693,0.165,0,10,ACRV1
YTHDC21,0,2.787443831,0.577,0.049,0,10,YTHDC2
SPAG171,0,3.152485213,0.584,0.062,0,10,SPAG17
FUT23,0,1.264953095,0.754,0.236,0,10,FUT2
IST11,0,1.632403937,0.584,0.066,0,10,IST1
ZNF6461,0,3.060979398,0.571,0.054,0,10,ZNF646
ATP2B41,0,2.758046965,0.572,0.055,0,10,ATP2B4
THOC72,0,1.8078765,0.629,0.113,0,10,THOC7
RNFT22,0,1.986667347,0.589,0.074,0,10,RNFT2
TRIP101,0,3.386702552,0.556,0.041,0,10,TRIP10
MSTO15,0,1.148504239,0.901,0.386,0,10,MSTO1
CASP33,0,0.784692124,0.942,0.427,0,10,CASP3
HEPN11,0,2.375556237,0.574,0.06,0,10,HEPN1
CHURC13,0,0.564435618,0.634,0.12,0,10,CHURC1
UFSP24,0,0.988764622,0.692,0.179,0,10,UFSP2
KCNB15,0,1.428973918,0.844,0.331,0,10,KCNB1
NOXO12,0,0.956497372,0.693,0.181,0,10,NOXO1
PPIAL4G3,0,1.654182215,0.612,0.1,0,10,PPIAL4G
TRAF31,0,3.000922146,0.68,0.169,0,10,TRAF3
CNGA43,0,1.902428864,0.575,0.064,0,10,CNGA4
TPP12,0,1.009554374,0.686,0.177,0,10,TPP1
AP1G21,0,2.262806139,0.586,0.077,0,10,AP1G2
WDR312,0,2.242753485,0.601,0.092,0,10,WDR31
LIPG,0,0.132257679,0.749,0.24,0,10,LIPG
KRT863,0,1.199425769,0.746,0.24,0,10,KRT86
MNDA1,0,2.220355274,0.575,0.069,0,10,MNDA
MLPH2,0,2.336284575,0.644,0.139,0,10,MLPH
ATRIP2,0,2.216729518,0.588,0.083,0,10,ATRIP
RTL12,0,3.363236084,0.581,0.077,0,10,RTL1
FPGT4,0,1.542324142,0.906,0.402,0,10,FPGT
NAE11,0,2.589773983,0.577,0.074,0,10,NAE1
PPP2R1A2,0,1.6652963,0.582,0.081,0,10,PPP2R1A
ADAT11,0,3.206017016,0.552,0.052,0,10,ADAT1
MYL103,0,1.248951737,0.661,0.161,0,10,MYL10
AMY2A3,0,1.480656289,0.61,0.115,0,10,AMY2A
APOBEC22,0,2.075287071,0.587,0.093,0,10,APOBEC2
NDUFV23,0,1.40157905,0.883,0.389,0,10,NDUFV2
STK312,0,1.878544124,0.571,0.077,0,10,STK31
LPCAT43,0,1.186351275,0.989,0.496,0,10,LPCAT4
PAN31,0,2.269596594,0.597,0.106,0,10,PAN3
SPTA11,0,2.085665305,0.583,0.094,0,10,SPTA1
PEAR12,0,2.414007943,0.56,0.072,0,10,PEAR1
UBALD11,0,2.786609401,0.538,0.05,0,10,UBALD1
LINC010101,0,2.922724506,0.535,0.049,0,10,LINC01010
DNAI33,0,2.065936624,0.6,0.114,0,10,DNAI3
ZBTB113,0,0.680126513,0.665,0.18,0,10,ZBTB11
BEST31,0,2.845679192,0.561,0.077,0,10,BEST3
LATS25,0,1.200704377,0.979,0.496,0,10,LATS2
RAD51C1,0,2.702726925,0.532,0.051,0,10,RAD51C
TRPM21,0,3.445372673,0.519,0.038,0,10,TRPM2
RRAS5,0,2.137127068,0.977,0.497,0,10,RRAS
FKTN2,0,1.988816453,0.559,0.08,0,10,FKTN
PEX31,0,2.467894802,0.532,0.053,0,10,PEX3
C15orf321,0,2.419774059,0.545,0.067,0,10,C15orf32
LINC030111,0,3.295344571,0.525,0.047,0,10,LINC03011
KCNJ112,0,1.983122334,0.575,0.097,0,10,KCNJ11
C20orf1441,0,3.256785296,0.55,0.073,0,10,C20orf144
RSPH141,0,2.731075969,0.543,0.067,0,10,RSPH14
TAS2R11,0,2.695888822,0.531,0.055,0,10,TAS2R1
KIF2A2,0,2.868665204,0.532,0.056,0,10,KIF2A
ZNF2191,0,2.803208838,0.521,0.048,0,10,ZNF219
CDK82,0,3.303778749,0.509,0.039,0,10,CDK8
GRM7-AS11,0,3.954593838,0.502,0.032,0,10,GRM7-AS1
GPLD11,0,2.265692955,0.52,0.052,0,10,GPLD1
SLC38A91,0,2.267345745,0.53,0.062,0,10,SLC38A9
CBX83,0,1.928601676,0.566,0.098,0,10,CBX8
METTL51,0,0.515059254,0.638,0.171,0,10,METTL5
GBP42,0,2.256807755,0.544,0.078,0,10,GBP4
NEUROD21,0,2.31696792,0.521,0.055,0,10,NEUROD2
KLK143,0,1.308858493,0.551,0.086,0,10,KLK14
LINC028133,0,1.523021219,0.915,0.45,0,10,LINC02813
GJB22,0,0.111238866,0.605,0.14,0,10,GJB2
USP204,0,0.354273168,0.668,0.204,0,10,USP20
SLC27A33,0,1.151203976,0.601,0.137,0,10,SLC27A3
TPTE22,0,1.75214783,0.581,0.117,0,10,TPTE2
LPCAT31,0,2.435601851,0.545,0.082,0,10,LPCAT3
GSTM23,0,1.976151189,0.732,0.269,0,10,GSTM2
EPB41L4A4,0,1.96350917,0.684,0.222,0,10,EPB41L4A
DPP71,0,3.144241199,0.507,0.045,0,10,DPP7
ARHGAP322,0,1.973747495,0.568,0.108,0,10,ARHGAP32
FLOT11,0,3.564965719,0.494,0.034,0,10,FLOT1
TREM11,0,3.575816555,0.495,0.037,0,10,TREM1
HSPA24,0,1.21324657,0.984,0.528,0,10,HSPA2
DHRS12,0,2.984991233,0.497,0.042,0,10,DHRS1
TBC1D132,0,2.76469814,0.529,0.075,0,10,TBC1D13
ANKRD451,0,2.358180182,0.505,0.051,0,10,ANKRD45
TM4SF41,0,3.043531203,0.497,0.043,0,10,TM4SF4
ARR33,0,1.406289507,0.994,0.541,0,10,ARR3
WDR762,0,0.214710203,0.637,0.185,0,10,WDR76
DMTF1-AS11,0,2.566590152,0.501,0.052,0,10,DMTF1-AS1
SMAGP3,0,1.387080133,0.634,0.186,0,10,SMAGP
CAPN71,0,3.878198135,0.479,0.031,0,10,CAPN7
PPA12,0,2.330605951,0.576,0.129,0,10,PPA1
GHR2,0,1.239103173,0.674,0.228,0,10,GHR
BORCS8-MEF2B1,0,4.927104494,0.46,0.017,0,10,BORCS8-MEF2B
TDRG11,0,5.007883747,0.452,0.012,0,10,TDRG1
HAX11,0,3.772746066,0.472,0.033,0,10,HAX1
DPT2,0,1.567900968,0.512,0.074,0,10,DPT
LINC009542,0,1.895489781,0.629,0.192,0,10,LINC00954
CCDC1342,0,2.184520049,0.502,0.068,0,10,CCDC134
MRM21,0,2.168373413,0.501,0.068,0,10,MRM2
ZNF5014,0,1.406457301,0.988,0.556,0,10,ZNF501
IDH21,0,2.571301876,0.488,0.057,0,10,IDH2
PRP4K1,0,1.687279512,0.51,0.08,0,10,PRP4K
GGA32,0,3.225303645,0.464,0.035,0,10,GGA3
CCDC1481,0,2.078871767,0.486,0.057,0,10,CCDC148
GLRA23,0,0.63745553,0.583,0.154,0,10,GLRA2
MMUT2,0,1.913497334,0.542,0.114,0,10,MMUT
ROCK23,0,1.492720033,0.518,0.09,0,10,ROCK2
IMPACT3,0,1.74679947,0.994,0.569,0,10,IMPACT
MRFAP1L22,0,1.030961213,0.965,0.541,0,10,MRFAP1L2
ZNF4085,0,0.794315632,0.556,0.133,0,10,ZNF408
SLC31A21,0,2.228084977,0.491,0.07,0,10,SLC31A2
MARCHF43,0,2.836040638,0.474,0.055,0,10,MARCHF4
SLC30A11,0,2.481536794,0.486,0.068,0,10,SLC30A1
CFAP20DC-DT2,0,1.0842872,0.601,0.185,0,10,CFAP20DC-DT
PCTP2,0,1.518094886,0.492,0.077,0,10,PCTP
PEX133,0,1.462148575,0.495,0.08,0,10,PEX13
WAC2,0,0.495746956,0.497,0.083,0,10,WAC
AGPAT32,0,2.246054314,0.492,0.08,0,10,AGPAT3
