,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
HMG20B,2.61E-181,0.158076239,0.916,0.603,5.46E-177,1,HMG20B
CAB39,2.26E-171,0.694624498,0.417,0.211,4.73E-167,1,CAB39
NCEH11,5.05E-155,0.933178636,0.273,0.118,1.06E-150,1,NCEH1
SLC17A1,2.13E-145,0.508944105,0.497,0.273,4.46E-141,1,SLC17A1
UBA52,3.54E-132,0.773912577,0.368,0.195,7.42E-128,1,UBA52
EPB41L4A,8.36E-125,0.638167391,0.396,0.225,1.75E-120,1,EPB41L4A
BFSP2-AS1,1.37E-120,0.748287274,0.304,0.152,2.88E-116,1,BFSP2-AS1
PSMB10,1.73E-116,0.762728467,0.434,0.261,3.62E-112,1,PSMB10
TMEM1381,2.16E-99,0.202743247,0.898,0.651,4.54E-95,1,TMEM138
SH3BP2,2.73E-87,1.016954529,0.201,0.099,5.74E-83,1,SH3BP2
ZBTB8A,1.57E-83,0.222910405,0.53,0.334,3.29E-79,1,ZBTB8A
ARHGAP5,1.32E-82,1.2527341,0.149,0.066,2.78E-78,1,ARHGAP5
TBC1D9,6.78E-82,1.198202264,0.173,0.083,1.42E-77,1,TBC1D9
DAGLB,6.89E-73,2.052008146,0.068,0.021,1.45E-68,1,DAGLB
PFDN6,1.27E-68,0.57720048,0.225,0.123,2.66E-64,1,PFDN6
FIBIN,4.27E-67,0.402421825,0.461,0.307,8.96E-63,1,FIBIN
TUBGCP3,9.18E-62,1.231258835,0.075,0.027,1.93E-57,1,TUBGCP3
MSTO1,2.11E-61,0.279148707,0.56,0.391,4.43E-57,1,MSTO1
LINC024131,3.75E-57,0.98281971,0.167,0.09,7.87E-53,1,LINC02413
GLRA2,1.01E-55,1.042636521,0.253,0.164,2.11E-51,1,GLRA2
PAK4,2.28E-54,1.418335801,0.097,0.043,4.77E-50,1,PAK4
TFAM,3.97E-52,1.206931792,0.163,0.091,8.32E-48,1,TFAM
ZNHIT11,7.41E-50,0.281304467,0.248,0.15,1.55E-45,1,ZNHIT1
ATF7IP2,3.50E-49,0.672886299,0.197,0.116,7.34E-45,1,ATF7IP2
